[08Jul2025 00:01:08.513] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-42, y=16, z=-249} BlockPos{x=-42, y=16, z=-248}
[08Jul2025 00:01:08.565] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-42, y=16, z=-249} BlockPos{x=-42, y=16, z=-248}
[08Jul2025 00:01:08.614] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-42, y=16, z=-249} BlockPos{x=-42, y=16, z=-248}
[08Jul2025 00:01:08.662] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-42, y=16, z=-249} BlockPos{x=-42, y=16, z=-248}
[08Jul2025 00:01:08.714] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-42, y=16, z=-249} BlockPos{x=-42, y=16, z=-248}
[08Jul2025 00:01:08.762] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-42, y=16, z=-249} BlockPos{x=-42, y=16, z=-248}
[08Jul2025 00:01:08.794] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-42, y=16, z=-249} BlockPos{x=-42, y=16, z=-248}
[08Jul2025 00:01:08.863] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-42, y=16, z=-249} BlockPos{x=-42, y=16, z=-248}
[08Jul2025 00:01:08.911] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-42, y=16, z=-249} BlockPos{x=-42, y=16, z=-248}
[08Jul2025 00:01:08.962] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-42, y=16, z=-249} BlockPos{x=-42, y=16, z=-248}
[08Jul2025 00:01:09.016] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-42, y=16, z=-249} BlockPos{x=-42, y=16, z=-248}
[08Jul2025 00:01:09.078] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-42, y=16, z=-249} BlockPos{x=-42, y=16, z=-248}
[08Jul2025 00:01:09.114] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-42, y=16, z=-249} BlockPos{x=-42, y=16, z=-248}
[08Jul2025 00:01:09.163] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-42, y=16, z=-249} BlockPos{x=-42, y=16, z=-248}
